名称,年份,上映时间,类型,时长,评分,语言,作者,导演,简介,标语
綠里奇蹟,(1999),2000/03/09 (HK),"奇幻,剧情,犯罪",3h 9m,85,英語,史提芬·京,法蘭·達拉本特,所謂「綠裏」，是指從監房到死囚之間地面上塗上綠色油漆的路程，獄長保甸多年來曾送過不少死囚走過「綠裏」，但當他押著六尺五寸的黑人哥菲上電椅時，內心卻悲痛莫名。外表孔武有力的哥菲被控謀殺兩名白人姐妹，但保羅看得出他心地善良並擁有神奇力量，令保羅開始質疑哥菲是否被誤判。保羅漸漸發覺奇蹟通常在意料之外的地方發生。,Paul Edgecomb didn't believe in miracles. Until the day he met one.
魔戒三部曲：王者再臨,(2003),2003/12/18 (HK),"冒险,奇幻,动作",4h 11m,85,英語,J·R·R·託爾金,彼得積遜,遠征隊還是分頭努力，一邊是亞拉岡、勒苟拉斯、金霹加上洛汗國的希優頓；另一頭則有梅裏、皮聘見證了薩魯曼位於艾辛格的高塔受到精靈族的摧毀；而佛羅多、山姆則繼續前往末日山脈，咕魯帶他們前往另一段未知的命運。,The eye of the enemy is moving.
上流寄生族,(2019),2019/06/20 (HK),"喜剧,惊悚,剧情",2h 12m,85,韓語,韓進元,奉俊昊,窮爸爸基澤 (宋康昊 飾) 一家四口全是無業遊民，他們終日望天打卦，直至長子基佑 (崔宇植 飾) 以偽造文憑，成功受聘為神秘富豪 (李善均 飾) 子女的補習老師，這潦倒的一家彷彿重獲生機，「共享」上流人的榮華富貴，但無止境的貧富差距最終令人性失控. . . .,Act like you own the place.
危險人物,(1994),1995/03/23 (HK),"惊悚,犯罪,喜剧",2h 34m,85,英語,羅傑·阿瓦里,昆頓·塔倫天奴,幾個擦身而過的人，在黑道世界中交織出微妙錯綜的故事。  殺手文生（尊特拉華達 飾）奉命陪伴黑幫頭子之妻蜜亞（奧瑪花曼 飾）四出散心。蜜亞卻吸下過量毒品昏迷不醒，嚇得文生魂不附體…  另一方面，文生與拍檔朱沃（森姆積遜 飾）在一次行動中被亂槍掃射大難不死。朱沃堅信這是上帝之手相助，決定改邪歸正，文生不以為然，繼續為黑幫賣命。  拳手布治（布斯韋利士 飾）答應黑幫頭子打假拳騙取彩金，臨場卻倒轉賽果夾帶私逃。起程之際，布治與殺手文生狹路相逢。這時，屋內突然傳出一陣槍聲…,You won’t know the facts until you’ve seen the fiction.
你的名字,(2016),2016/11/11 (HK),"动画,爱情,剧情",1h 46m,85,日語,,新海誠,故事發生在日本千年一遇的流星夜後一個月。住在鄉郊的女高中生宮水三葉對這種生活感到枯燥，一直非常嚮往都市生活。「來生要成為東京帥哥！」是她的願望。有一天，她真的夢見自己成為男生。眼前的是一個不熟悉的房間、不認識的朋友，還有她夢寐以求的東京寬闊街道。,"Separated by distance, connected by fate."
星際啟示錄,(2014),2014/11/06 (HK),"冒险,剧情,科幻",2h 49m,85,英語,尊納頓路蘭,基斯杜化·路蘭,世界在歷經極端氣候與糧食危機，地球瀕臨末日之際，一位電機工程師（馬修麥康納希 Matthew McConaughey 飾）與一群專業研究者還有頂尖太空人（安夏菲慧 Anne Hathaway 飾） ，扛起人類史上最重要的任務，越過已知的銀河，在星際間尋找未來出路。同時必須先割捨無法與家人見面的親情牽絆，在愛與勇氣、生存與挑戰中，跨越星際拯救人類…,Mankind was born on Earth. It was never meant to die here.
獨行俠決鬥地獄門,(1966),1968/06/13 (HK),西部,2h 41m,85,意大利語,盧西亞諾·文森佐尼,賽爾喬·萊昂內,美國南北戰爭時期，南方政府埋藏了一批黃金。這個消息恰好被三名主角知道了，然而他們每個人只知道關於埋藏地點的一部分訊息。因此既要合作，又要提防對方獨吞財產。,For three men the Civil War wasn't hell. It was practice.
阿甘正傳,(1994),1994/12/15 (HK),"喜剧,剧情,爱情",2h 22m,85,英語,温斯頓·格魯姆,羅伯特·澤米吉斯,阿甘自幼與母親相依為命，雖然智商比普通人為低，雙腳亦天生有障礙。但他生性篤實，與世無爭，在母親無微不至照顧下，健康地長大。阿甘的一生可説是平凡中不平凡，他面對每一件事都抱忠誠純真的態度，就是獲甘迺迪總統嘉勉，參加越戰奮勇抗敵，與尼克遜總統相遇，跟約翰聯儂一起接受訪問，在欖球比賽得冠軍，到中國參加世界乒乓球比賽，把捕蝦生意搞成大企業等等，他都是以稚子之心待之。可是，母親的去世和青梅竹馬的珍妮的我行我素性格弄得阿甘好苦，於是他在全美各地跑步解憂，成傳媒爭相報導的對象…,The world will never be the same once you've seen it through the eyes of Forrest Gump.
人類啟示錄,(2015),2015/09/12 (FR),纪录,3h 11m,85,法語,,Yann Arthus-Bertrand,集攝影師、記者、環保倡議者於一身的全能導演Yann-Arthus Bertrand完成大自然紀錄片«人類啟示錄»後轉變視角，拷問人性。不同種族，不同語言，不同身世，卻擁有一樣真實的臉，一樣掙扎的人生。紀錄片採訪兩千多人，走遍六十多個國家，內容觸及戰爭、種族、宗教、暴力、性別、賣淫、歧視及仇殺等禁忌話題。一個個經歷過如斯苦難的靈魂赤裸裸的與你對視，毫無掩飾地講述自己的人生，控訴與懺悔交織，淚水與寬恕融匯。生而為人，意義何在？在人生永無盡頭的征途中，也許只有愛才能抵禦一切。,概覽
盜亦有道,(1990),1990/11/01 (HK),"剧情,犯罪",2h 25m,85,英語,尼古拉斯·皮萊吉,馬田史高西斯,亨利生長在20世紀50年代美國紐約市東的布魯克林區，他很小時就開始注意到街口對面的意大利黑幫Lucchese家族（Lucchese crime family）。這種關注逐漸地便發展為一種崇拜：小亨利開始渴望有朝一日自己也能成為該家族中的一員。1955年，小亨利正式退學並開始為家族在當地的一個聚點打雜。此後不久，經過其自身的不懈努力和家族首腦保利 及其合作夥伴吉米 的賞識與栽培，小亨利逐步得到家族成員的信任，並迅速發展成為家族骨幹。,Three decades of life in the mafia.
